name,time,original_prompt_index,prompt_time,aligned_time,alignment_iteration,alignment_offset,ground_truth_time,random_shift_seconds,error_before,error_after,abs_error_before,abs_error_after,error_improvement
middle_press,1633015191.6116014,0,1633015191.6116014,1633015191.3020422,3,-0.3095591068267822,1633015191.5490537,0.06254773330233349,0.06254768371582031,-0.24701142311096191,0.06254768371582031,0.24701142311096191,-0.1844637393951416
middle_release,1633015192.4926589,1,1633015192.4926589,1633015192.8230584,3,0.3303995132446289,1633015192.294052,0.19860690048478774,0.1986069679260254,0.5290064811706543,0.1986069679260254,0.5290064811706543,-0.3303995132446289
index_press,1633015193.4669502,2,1633015193.4669502,1633015193.397097,3,-0.06985306739807129,1633015193.3291073,0.13784284512259676,0.13784289360046387,0.06798982620239258,0.13784289360046387,0.06798982620239258,0.06985306739807129
index_release,1633015193.3817396,3,1633015193.3817396,1633015193.1120875,3,-0.2696521282196045,1633015193.519136,-0.13739640500470407,-0.13739633560180664,-0.40704846382141113,0.13739633560180664,0.40704846382141113,-0.2696521282196045
index_press,1633015194.7392147,4,1633015194.7392147,1633015194.5096285,3,-0.22958612442016602,1633015194.8391316,-0.09991685754438728,-0.09991693496704102,-0.32950305938720703,0.09991693496704102,0.32950305938720703,-0.22958612442016602
index_release,1633015195.1159449,5,1633015195.1159449,1633015195.2862,3,0.17025518417358398,1633015194.9291682,0.18677672269813095,0.18677663803100586,0.35703182220458984,0.18677663803100586,0.35703182220458984,-0.17025518417358398
index_press,1633015194.9468133,6,1633015194.9468133,1633015194.8771386,3,-0.06967473030090332,1633015195.1941807,-0.24736734771721264,-0.24736738204956055,-0.31704211235046387,0.24736738204956055,0.31704211235046387,-0.06967473030090332
index_release,1633015195.4748125,7,1633015195.4748125,1633015195.8051505,3,0.3303380012512207,1633015195.3141983,0.16061420919138314,0.1606142520904541,0.4909522533416748,0.1606142520904541,0.4909522533416748,-0.3303380012512207
index_press,1633015196.5326946,8,1633015196.5326946,1633015196.4631565,3,-0.06953811645507812,1633015196.3841598,0.1485347143760231,0.14853477478027344,0.07899665832519531,0.14853477478027344,0.07899665832519531,0.06953811645507812
index_release,1633015196.458124,9,1633015196.458124,1633015196.4281535,3,-0.029970407485961914,1633015196.4741564,-0.016032523578139612,-0.01603245735168457,-0.046002864837646484,0.01603245735168457,0.046002864837646484,-0.029970407485961914
index_press,1633015196.620708,10,1633015196.620708,1633015196.8711784,3,0.2504703998565674,1633015196.7191918,-0.09848378659034324,-0.09848380088806152,0.15198659896850586,0.09848380088806152,0.15198659896850586,-0.053502798080444336
index_release,1633015196.7833862,11,1633015196.7833862,1633015197.113707,3,0.3303208351135254,1633015196.8941734,-0.11078719394961334,-0.11078715324401855,0.21953368186950684,0.11078715324401855,0.21953368186950684,-0.10874652862548828
middle_press,1633015197.6166792,12,1633015197.6166792,1633015197.306806,3,-0.309873104095459,1633015197.7392445,-0.1225652061729377,-0.12256526947021484,-0.43243837356567383,0.12256526947021484,0.43243837356567383,-0.309873104095459
middle_release,1633015197.9718027,13,1633015197.9718027,1633015198.2623215,3,0.29051876068115234,1633015197.9992645,-0.027461847058676714,-0.027461767196655273,0.26305699348449707,0.027461767196655273,0.26305699348449707,-0.2355952262878418
middle_press,1633015198.7965348,14,1633015198.7965348,1633015198.9667675,3,0.17023277282714844,1633015198.7942607,0.0022741294789766497,0.002274036407470703,0.17250680923461914,0.002274036407470703,0.17250680923461914,-0.17023277282714844
middle_release,1633015199.1110265,15,1633015199.1110265,1633015199.121275,3,0.010248422622680664,1633015199.0842779,0.026748676037246233,0.0267486572265625,0.036997079849243164,0.0267486572265625,0.036997079849243164,-0.010248422622680664
index_press,1633015200.1971877,16,1633015200.1971877,1633015199.9674363,3,-0.2297513484954834,1633015199.9494376,0.24775014171719634,0.24775004386901855,0.017998695373535156,0.24775004386901855,0.017998695373535156,0.2297513484954834
index_release,1633015200.6206884,17,1633015200.6206884,1633015200.4708557,3,-0.14983272552490234,1633015200.4743574,0.14633095960687653,0.1463310718536377,-0.0035016536712646484,0.1463310718536377,0.0035016536712646484,0.14282941818237305
index_press,1633015201.6205177,18,1633015201.6205177,1633015201.2708604,3,-0.3496572971343994,1633015201.5594282,0.06108961472058133,0.061089515686035156,-0.28856778144836426,0.061089515686035156,0.28856778144836426,-0.2274782657623291
index_release,1633015201.9088767,19,1633015201.9088767,1633015202.198926,3,0.29004931449890137,1633015201.6643965,0.24448007384094245,0.24448013305664062,0.534529447555542,0.24448013305664062,0.534529447555542,-0.29004931449890137
middle_press,1633015202.5870805,20,1633015202.5870805,1633015202.917451,3,0.3303704261779785,1633015202.7294261,-0.14234565088220053,-0.14234566688537598,0.18802475929260254,0.14234566688537598,0.18802475929260254,-0.04567909240722656
middle_release,1633015202.8095498,21,1633015202.8095498,1633015203.0199594,3,0.21040964126586914,1633015202.9794438,-0.16989398307107773,-0.16989398002624512,0.04051566123962402,0.16989398002624512,0.04051566123962402,0.1293783187866211
index_press,1633015203.6357892,22,1633015203.6357892,1633015203.5660217,3,-0.06976747512817383,1633015203.5795193,0.05626980213651539,0.05626988410949707,-0.013497591018676758,0.05626988410949707,0.013497591018676758,0.04277229309082031
index_release,1633015204.1414351,23,1633015204.1414351,1633015204.3514645,3,0.21002936363220215,1633015204.3694642,-0.22802899601930832,-0.2280290126800537,-0.017999649047851562,0.2280290126800537,0.017999649047851562,0.21002936363220215
